0.28759-0.95775i,-0.0024684-1i,0.25533-0.96685i
0.2494-0.9684i,0.15784-0.98747i,0.47965-0.87746i
0.242-0.97028i,0.5848-0.81118i,0.40882-0.91262i
-0.59776+0.80168i,-0.75407+0.65679i,-0.91744+0.39788i
-0.4334-0.9012i,-0.0039773-0.99999i,0.012674-0.99992i
0.94501-0.32705i,-0.51662+0.85622i,0.97871-0.20524i
0.81346-0.58162i,0.35385-0.9353i,0.61184-0.79098i
0.61445-0.78896i,0.56191-0.8272i,0.74612-0.66581i
0.91627-0.40056i,0.68488-0.72866i,0.80106-0.59859i
0.30603+0.95202i,-0.4388+0.89859i,-0.04177+0.99913i
0.98918+0.14671i,0.64304+0.76583i,0.99524-0.097459i
0.047902-0.99885i,-0.45445-0.89077i,0.66282-0.74878i
-0.17241+0.98502i,-0.9945+0.10476i,-0.94544+0.32579i
0.824-0.56659i,0.99943+0.033771i,0.78943-0.61384i
-0.84136-0.54048i,-0.32989-0.94402i,-0.25816-0.9661i
-0.66856-0.74366i,-0.78431-0.62036i,-0.4147-0.90996i
0.15563-0.98782i,0.18268-0.98317i,0.27145-0.96245i
0.41461-0.91i,0.49727-0.8676i,0.33291-0.94296i
-0.71787-0.69618i,-0.29542-0.95537i,-0.30713-0.95167i
-0.29514+0.95545i,-0.28377+0.95889i,0.22737+0.97381i
0.95142-0.30789i,0.76135-0.64834i,0.94173-0.33637i
0.68285+0.73055i,0.080082+0.99679i,0.3991+0.91691i
0.76848-0.63987i,0.92691-0.37528i,0.80971-0.58683i
-0.08218-0.99662i,0.8609+0.50877i,0.084377-0.99643i
0.6025-0.79812i,0.96468-0.26344i,0.83483-0.55051i
-0.18161-0.98337i,0.11794-0.99302i,0.14742-0.98907i
0.51694-0.85602i,0.64159-0.76705i,0.51196-0.85901i
0.83229-0.55434i,0.55132-0.83429i,0.86089-0.50879i
-0.35411-0.9352i,-0.1141-0.99347i,-0.4159-0.90941i
0.76857-0.63976i,0.77771-0.62863i,0.85798-0.51369i
0.3178-0.94816i,0.58568-0.81054i,0.6923-0.72161i
-0.77106-0.63676i,0.91766+0.39738i,0.31329-0.94966i
0.39354-0.91931i,0.97933-0.20225i,0.98482-0.1736i
0.9605-0.27828i,0.89029-0.4554i,0.95848-0.28517i
0.74413-0.66803i,0.4061-0.91383i,0.64461-0.76451i
-0.23994-0.97079i,0.80334-0.59552i,0.55637-0.83093i
0.6464-0.763i,0.71383-0.70032i,0.84922-0.52803i
0.98624-0.16534i,0.98669-0.16262i,0.98773-0.1562i
0.58221-0.81304i,0.83367-0.55227i,0.72101-0.69293i
0.63617-0.77155i,0.856-0.51697i,0.60559-0.79578i
0.82792-0.56085i,0.88104-0.47305i,0.61513-0.78842i
0.50411-0.86364i,0.7491-0.66246i,0.64173-0.76693i
0.86961-0.49374i,0.3761-0.92658i,0.73591-0.67708i
0.529-0.84862i,0.62337-0.78193i,0.40648-0.91366i
0.31197-0.95009i,0.15616-0.98773i,0.46574-0.88492i
0.9409-0.33869i,0.79719-0.60373i,0.97564-0.21937i
0.94701-0.32122i,0.71851-0.69552i,0.92871-0.37081i
0.97911-0.20334i,-0.99982+0.018908i,0.89289-0.45027i
0.98751+0.15756i,0.90302+0.42961i,0.99959+0.028507i
